YM_ID|B_EMD_CD|OCR_CNT|DEATH_CNT|INJURY_CNT|ETL_TYPE|ETL_DATE
200708|3020010500|0|0|0|0601|2012-03-21 17:53:44
200710|3020010500|0|0|0|0601|2012-03-21 17:53:44
200712|3020010500|0|0|0|0601|2012-03-21 17:53:44
200702|3020013000|0|0|0|0601|2012-03-21 17:53:44
200704|3020013000|1|0|1|0601|2012-03-21 17:53:44
200706|3020013000|3|0|4|0601|2012-03-21 17:53:44
200708|3020013000|1|0|1|0601|2012-03-21 17:53:44
200710|3020013000|0|0|0|0601|2012-03-21 17:53:44
200712|3020013000|1|0|1|0601|2012-03-21 17:53:44
200702|3014012100|0|0|0|0601|2012-03-21 17:53:44
200704|3014012100|0|0|0|0601|2012-03-21 17:53:44
200706|3014012100|0|0|0|0601|2012-03-21 17:53:44
200708|3014012100|0|0|0|0601|2012-03-21 17:53:44
200710|3014012100|0|0|0|0601|2012-03-21 17:53:44
200712|3014012100|0|0|0|0601|2012-03-21 17:53:44
200702|3014011000|4|0|9|0601|2012-03-21 17:53:44
200704|3014011000|7|0|14|0601|2012-03-21 17:53:44
200706|3014011000|6|0|15|0601|2012-03-21 17:53:44
200708|3014011000|9|1|11|0601|2012-03-21 17:53:44
200710|3014011000|6|0|8|0601|2012-03-21 17:53:44
200712|3014011000|3|0|3|0601|2012-03-21 17:53:44
200702|3014010500|11|0|19|0601|2012-03-21 17:53:44
200704|3014010500|8|0|13|0601|2012-03-21 17:53:44
200706|3014010500|13|0|20|0601|2012-03-21 17:53:44
200708|3014010500|10|0|16|0601|2012-03-21 17:53:44
200710|3014010500|13|0|18|0601|2012-03-21 17:53:44
200712|3014010500|3|0|10|0601|2012-03-21 17:53:44
200702|3014010300|2|0|4|0601|2012-03-21 17:53:44
200704|3014010300|3|0|4|0601|2012-03-21 17:53:44
200706|3014010300|3|0|5|0601|2012-03-21 17:53:44
200708|3014010300|0|0|0|0601|2012-03-21 17:53:44
200710|3014010300|2|0|3|0601|2012-03-21 17:53:44
200712|3014010300|2|0|2|0601|2012-03-21 17:53:44
200702|3014010600|3|0|3|0601|2012-03-21 17:53:44
200704|3014010600|5|0|5|0601|2012-03-21 17:53:44
200706|3014010600|3|0|3|0601|2012-03-21 17:53:44
200708|3014010600|3|0|3|0601|2012-03-21 17:53:44
200710|3014010600|5|0|7|0601|2012-03-21 17:53:44
200712|3014010600|1|0|1|0601|2012-03-21 17:53:44
200702|3014011600|17|2|30|0601|2012-03-21 17:53:44
200704|3014011600|18|0|30|0601|2012-03-21 17:53:44
200706|3014011600|14|0|17|0601|2012-03-21 17:53:44
200708|3014011600|14|0|24|0601|2012-03-21 17:53:44
200710|3014011600|19|1|29|0601|2012-03-21 17:53:44
200712|3014011600|14|1|21|0601|2012-03-21 17:53:44
200702|3014011100|4|0|6|0601|2012-03-21 17:53:44
200704|3014011100|12|0|16|0601|2012-03-21 17:53:44
200706|3014011100|7|0|13|0601|2012-03-21 17:53:44
200708|3014011100|4|0|5|0601|2012-03-21 17:53:44
200710|3014011100|3|0|6|0601|2012-03-21 17:53:44
200712|3014011100|5|0|9|0601|2012-03-21 17:53:44
200702|3014011800|0|0|0|0601|2012-03-21 17:53:44
200704|3014011800|0|0|0|0601|2012-03-21 17:53:44
200706|3014011800|2|0|2|0601|2012-03-21 17:53:44
200708|3014011800|2|0|7|0601|2012-03-21 17:53:44
200710|3014011800|0|0|0|0601|2012-03-21 17:53:44
200712|3014011800|1|0|1|0601|2012-03-21 17:53:44
200702|3014011700|7|1|6|0601|2012-03-21 17:53:44
200704|3014011700|8|0|17|0601|2012-03-21 17:53:44
200706|3014011700|10|0|19|0601|2012-03-21 17:53:44
200708|3014011700|8|0|15|0601|2012-03-21 17:53:44
200710|3014011700|1|0|1|0601|2012-03-21 17:53:44
200712|3014011700|5|0|5|0601|2012-03-21 17:53:44
200702|3014010700|5|1|5|0601|2012-03-21 17:53:44
200704|3014010700|4|0|4|0601|2012-03-21 17:53:44
200706|3014010700|3|0|3|0601|2012-03-21 17:53:44
200708|3014010700|4|2|5|0601|2012-03-21 17:53:44
200710|3014010700|3|0|4|0601|2012-03-21 17:53:44
200712|3014010700|4|0|8|0601|2012-03-21 17:53:44
200702|3014010200|2|0|3|0601|2012-03-21 17:53:44
200704|3014010200|14|0|18|0601|2012-03-21 17:53:44
200706|3014010200|7|0|8|0601|2012-03-21 17:53:44
200708|3014010200|11|0|14|0601|2012-03-21 17:53:44
200710|3014010200|13|0|17|0601|2012-03-21 17:53:44
200712|3014010200|16|0|23|0601|2012-03-21 17:53:44
200702|3014011900|0|0|0|0601|2012-03-21 17:53:44
200704|3014011900|0|0|0|0601|2012-03-21 17:53:44
200706|3014011900|2|0|2|0601|2012-03-21 17:53:44
200708|3014011900|3|0|4|0601|2012-03-21 17:53:44
200710|3014011900|0|0|0|0601|2012-03-21 17:53:44
200712|3014011900|0|0|0|0601|2012-03-21 17:53:44
200702|3014011300|12|0|20|0601|2012-03-21 17:53:44
200704|3014011300|11|0|20|0601|2012-03-21 17:53:44
200706|3014011300|11|0|13|0601|2012-03-21 17:53:44
200708|3014011300|13|0|21|0601|2012-03-21 17:53:44
200710|3014011300|11|0|18|0601|2012-03-21 17:53:44
200712|3014011300|9|1|14|0601|2012-03-21 17:53:44
200702|3014010900|0|0|0|0601|2012-03-21 17:53:44
200704|3014010900|3|0|3|0601|2012-03-21 17:53:44
