집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20220401,02,0,2,48,0,89,9,1,5,13,5,122,
20220401,02,0,2,49,0,120,16,4,30,9,3,182,
20220401,02,0,2,46,0,13,2,1,9,13,0,38,
20220401,02,0,2,08,0,127,17,10,12,51,12,229,
20220401,02,0,2,08,1,3,0,0,0,0,0,3,
20220401,02,0,2,10,0,307,28,27,39,24,12,437,
20220401,02,0,2,10,1,14,1,2,1,0,0,18,
20220401,02,0,2,11,0,224,70,40,56,41,8,439,
20220401,02,0,2,24,1,3,0,0,0,0,0,3,
20220401,02,0,2,44,0,234,53,16,49,55,3,410,
20220401,02,0,2,44,1,9,0,0,0,0,1,10,
20220401,02,0,2,27,1,95,2,1,0,0,3,101,
20220401,02,0,2,26,1,41,2,0,0,0,3,46,
20220401,02,0,2,43,1,26,0,0,0,1,0,27,
20220401,02,1,1,00,0,1171,82,83,458,92,102,1988,
20220401,02,1,1,00,1,391,26,28,92,30,29,596,
20220401,02,1,1,01,0,12,5,0,9,5,1,32,
20220401,02,1,1,45,0,3,0,0,1,0,0,4,
20220401,02,1,1,02,0,23,1,1,4,3,1,33,
20220401,02,1,1,18,0,24,2,6,10,5,0,47,
20220401,02,1,1,34,0,9,0,1,1,0,1,12,
20220401,02,1,1,28,0,24,1,1,2,0,6,34,
20220401,02,1,1,37,0,8,0,1,8,1,1,19,
20220401,02,1,1,48,0,4,0,2,0,0,1,7,
20220401,02,1,1,49,0,6,0,0,0,0,1,7,
20220401,02,1,1,46,0,3,0,0,0,0,0,3,
20220401,02,1,1,08,0,40,1,3,8,4,2,58,
20220401,02,1,1,08,1,6,1,0,0,0,0,7,
20220401,02,1,1,10,0,36,0,2,4,1,2,45,
20220401,02,1,1,10,1,6,0,0,1,0,2,9,
20220401,02,1,1,11,0,40,3,2,10,0,6,61,
20220401,02,1,1,24,1,7,0,0,0,0,0,7,
20220401,02,1,1,44,0,26,7,5,5,1,3,47,
20220401,02,1,1,26,1,26,1,0,0,2,1,30,
20220401,02,1,1,43,1,25,0,1,3,1,7,37,
20220401,02,1,2,00,0,6071,1425,691,1453,1484,220,11344,
20220401,02,1,2,00,1,2198,301,106,305,283,84,3277,
20220401,02,1,2,01,0,540,75,70,221,252,8,1166,
20220401,02,1,2,45,0,120,15,49,80,113,5,382,
20220401,02,1,2,02,0,274,43,18,79,118,9,541,
20220401,02,1,2,18,0,178,32,43,80,136,10,479,
20220401,02,1,2,34,0,135,19,25,11,59,10,259,
20220401,02,1,2,28,0,179,30,9,20,11,6,255,
20220401,02,1,2,37,0,40,10,4,6,21,1,82,
20220401,02,1,2,48,0,86,9,3,7,17,3,125,
20220401,02,1,2,49,0,124,14,4,26,13,4,185,
20220401,02,1,2,46,0,3,3,2,11,11,0,30,
20220401,02,1,2,08,0,137,19,8,16,32,10,222,
20220401,02,1,2,10,0,299,24,20,35,23,9,410,
20220401,02,1,2,10,1,51,1,2,1,1,0,56,
20220401,02,1,2,11,0,250,68,37,43,38,12,448,
20220401,02,1,2,44,0,214,42,14,38,61,2,371,
20220401,02,1,2,44,1,9,0,0,0,0,1,10,
20220401,02,1,2,27,1,68,3,0,3,1,7,82,
20220401,02,1,2,26,1,37,1,0,0,0,5,43,
20220401,02,1,2,43,1,176,30,7,13,29,8,263,
20220401,03,0,1,00,0,995,116,166,559,188,16,2040,
20220401,03,0,1,00,1,329,38,41,51,30,39,528,
20220401,03,0,1,01,0,9,1,3,13,2,0,28,
20220401,03,0,1,45,0,3,0,0,14,3,0,20,
20220401,03,0,1,02,0,28,1,6,13,1,0,49,
20220401,03,0,1,18,0,26,4,10,28,11,0,79,
20220401,03,0,1,34,0,8,1,2,7,1,0,19,
20220401,03,0,1,28,0,28,1,2,4,1,1,37,
20220401,03,0,1,37,0,7,1,1,18,7,0,34,
20220401,03,0,1,48,0,1,0,1,2,0,0,4,
20220401,03,0,1,49,0,6,1,1,1,0,0,9,
20220401,03,0,1,46,0,2,0,0,1,0,0,3,
20220401,03,0,1,08,0,34,0,2,13,7,0,56,
20220401,03,0,1,08,1,0,0,0,1,0,0,1,
