행정구,승객수,기준_날짜,시군구
11030,171534,20220404,용산구
11030,177521,20220405,용산구
11030,180921,20220406,용산구
11030,182741,20220407,용산구
11030,200093,20220408,용산구
11030,174256,20220409,용산구
11030,137754,20220410,용산구
11030,181939,20220411,용산구
11030,185584,20220412,용산구
11030,182951,20220413,용산구
11030,187202,20220414,용산구
11030,208250,20220415,용산구
11030,178720,20220416,용산구
11030,135618,20220417,용산구
11030,181510,20220418,용산구
11030,187998,20220419,용산구
11030,192763,20220420,용산구
11030,193408,20220421,용산구
11030,204798,20220422,용산구
11030,181098,20220423,용산구
11030,135832,20220424,용산구
11030,185708,20220425,용산구
11030,17297,20220426,용산구
11030,202114,20220427,용산구
11030,206331,20220428,용산구
11030,221695,20220429,용산구
11030,194454,20220430,용산구
11040,87255,20220101,성동구
11040,98289,20220102,성동구
11040,220327,20220103,성동구
11040,227376,20220104,성동구
11040,229700,20220105,성동구
11040,232010,20220106,성동구
11040,236362,20220107,성동구
11040,154371,20220108,성동구
11040,106304,20220109,성동구
11040,230844,20220112,성동구
11040,232005,20220113,성동구
11040,236190,20220114,성동구
11040,154177,20220115,성동구
11040,113551,20220116,성동구
11040,231505,20220117,성동구
11040,234746,20220118,성동구
11040,245002,20220119,성동구
11040,239986,20220120,성동구
11040,242112,20220121,성동구
11040,158966,20220122,성동구
11040,113545,20220123,성동구
11040,233307,20220124,성동구
11040,237239,20220125,성동구
11040,242923,20220126,성동구
11040,237873,20220127,성동구
11040,233935,20220128,성동구
11040,130823,20220129,성동구
11040,94613,20220130,성동구
11040,70522,20220131,성동구
11040,61725,20220201,성동구
11040,85285,20220202,성동구
11040,210945,20220203,성동구
11040,222934,20220204,성동구
11040,136820,20220205,성동구
11040,99049,20220206,성동구
11040,223221,20220207,성동구
11040,225664,20220208,성동구
11040,228255,20220209,성동구
11040,227046,20220210,성동구
11040,230245,20220211,성동구
11040,149581,20220212,성동구
11040,105863,20220213,성동구
11040,222694,20220214,성동구
11040,221580,20220215,성동구
11040,219744,20220216,성동구
11040,218286,20220217,성동구
11040,216492,20220224,성동구
11040,221344,20220225,성동구
11040,140670,20220226,성동구
11040,107311,20220227,성동구
11040,209079,20220228,성동구
11040,116355,20220301,성동구
11040,234671,20220302,성동구
11040,231744,20220303,성동구
11040,230351,20220304,성동구
11040,146641,20220305,성동구
11040,102779,20220306,성동구
11040,225145,20220307,성동구
11040,232761,20220308,성동구
11040,127264,20220309,성동구
11040,224696,20220310,성동구
11040,229704,20220311,성동구
11040,147712,20220312,성동구
11040,90160,20220313,성동구
11040,225441,20220315,성동구
11040,226370,20220316,성동구
11040,222512,20220317,성동구
11040,224668,20220318,성동구
11040,134982,20220319,성동구
11040,104871,20220320,성동구
11040,222901,20220321,성동구
11040,227614,20220322,성동구
11040,227015,20220323,성동구
11040,227502,20220324,성동구
11040,234687,20220325,성동구
11040,143158,20220326,성동구
11040,114517,20220327,성동구
11040,229627,20220328,성동구
11040,234470,20220329,성동구
11040,232171,20220330,성동구
11040,236239,20220331,성동구
11040,246084,20220401,성동구
11040,174475,20220402,성동구
11040,127913,20220403,성동구
11040,237664,20220404,성동구
11040,242128,20220405,성동구
11040,246433,20220406,성동구
11040,247266,20220407,성동구
11040,259480,20220408,성동구
11040,196226,20220409,성동구
11040,148704,20220410,성동구
11040,248903,20220411,성동구
11040,250752,20220412,성동구
11040,244836,20220413,성동구
11040,248303,20220414,성동구
11040,258065,20220415,성동구
11040,178717,20220416,성동구
11040,129694,20220417,성동구
11040,244034,20220418,성동구
11040,250718,20220419,성동구
11040,253827,20220420,성동구
11040,253491,20220421,성동구
11040,252548,20220422,성동구
11040,181287,20220423,성동구
11040,126147,20220424,성동구
11040,246341,20220425,성동구
11040,20834,20220426,성동구
11040,263346,20220427,성동구
11040,265760,20220428,성동구
11040,271155,20220429,성동구
11040,189499,20220430,성동구
11050,119034,20220101,광진구
11050,129926,20220102,광진구
11050,218967,20220103,광진구
