일자,통행량,읍면동,행정동코드,시군구,행정구코드
20220103,54014,양평동2가,1119061,영등포구,11190
20220103,173941,여의도동,1119054,영등포구,11190
20220103,50194,역삼동,1123064,강남구,11230
20220103,33069,연희동,1113076,서대문구,11130
20220103,83219,영등포동2가,1119073,영등포구,11190
20220103,47765,영등포동7가,1119073,영등포구,11190
20220103,226505,옥수동,1104073,성동구,11040
20220103,76524,용답동,1104070,성동구,11040
20220103,27421,용산동2가,1103052,용산구,11030
20220103,118715,월계동,1111051,노원구,11110
20220103,28811,을지로2가,1102060,중구,11020
20220103,342733,이촌동,1103063,용산구,11030
20220103,17201,이태원동,1103065,용산구,11030
20220103,206915,일원동,1123072,강남구,11230
20220103,112820,자양동,1105064,광진구,11050
20220103,36074,잠실동,1124071,송파구,11240
20220103,0,잠원동,1122055,서초구,11220
20220103,125739,장안동,1106087,동대문구,11060
20220103,103380,장위동,1108076,성북구,11080
20220103,150232,장지동,1124081,송파구,11240
20220103,90874,장충동2가,1102058,중구,11020
20220103,135460,정릉동,1108062,성북구,11080
20220103,38743,종로3가,1101061,종로구,11010
20220103,31289,증산동,1112067,은평구,11120
20220103,14986,천호동,1125061,강동구,11250
20220103,116012,청담동,1123078,강남구,11230
20220103,25624,청운동,1101072,종로구,11010
20220103,36931,평창동,1101056,종로구,11010
20220103,59745,풍납동,1124051,송파구,11240
20220103,137029,한남동,1103074,용산구,11030
20220103,122640,합정동,1114068,마포구,11140
20220103,61193,홍은동,1113066,서대문구,11130
20220103,35711,화곡동,1116055,강서구,11160
20220103,38304,황학동,1102067,중구,11020
20220103,7806,회현동1가,1102054,중구,11020
20220104,204981,가산동,1118051,금천구,11180
20220104,67308,개봉동,1117064,구로구,11170
20220104,278911,방화동,1116070,강서구,11160
20220104,193235,고덕동,1125055,강동구,11250
20220104,111590,공릉동,1111056,노원구,11110
20220104,22937,공항동,1116069,강서구,11160
20220104,26436,광장동,1105063,광진구,11050
20220104,39703,구산동,1112057,은평구,11120
20220104,64725,논현동,1123052,강남구,11230
20220104,58187,당산동,1119055,영등포구,11190
20220104,32946,대림동,1119070,영등포구,11190
20220104,57241,도곡동,1123066,강남구,11230
20220104,48420,도봉동,1110064,도봉구,11100
20220104,92080,독산동,1118052,금천구,11180
20220104,53805,돈암동,1108058,성북구,11080
20220104,148614,망원동,1114069,마포구,11140
20220104,166307,반포동,1122056,서초구,11220
20220104,80316,방배동,1122061,서초구,11220
20220104,65356,삼성동,1121082,관악구,11210
20220104,185036,상계동,1111065,노원구,11110
20220104,405000,상암동,1114074,마포구,11140
20220104,47924,상일동,1125076,강동구,11250
20220104,322924,서초동,1122051,서초구,11220
20220104,11368,성북동,1108081,성북구,11080
20220104,99403,세곡동,1123076,강남구,11230
20220104,61905,송정동,1104069,성동구,11040
20220104,34835,송파동,1124061,송파구,11240
20220104,36278,수색동,1112068,은평구,11120
20220104,50601,숭인동,1101070,종로구,11010
20220104,161945,시흥동,1118057,금천구,11180
20220104,103595,신내동,1107069,중랑구,11070
20220104,59898,신당동,1102065,중구,11020
20220104,43042,신도림동,1117051,구로구,11170
20220104,14428,신림동,1121069,관악구,11210
20220104,171268,신사동,1112065,은평구,11120
20220104,316539,신월동,1115057,양천구,11150
20220104,43255,신정동,1115064,양천구,11150
20220104,0,신촌동,1113075,서대문구,11130
20220104,174793,양재동,1122066,서초구,11220
20220104,55550,양평동2가,1119061,영등포구,11190
20220104,250749,여의도동,1119054,영등포구,11190
20220104,51914,역삼동,1123064,강남구,11230
20220104,33532,연희동,1113076,서대문구,11130
20220104,86078,영등포동2가,1119073,영등포구,11190
20220104,49681,영등포동7가,1119073,영등포구,11190
20220104,252217,옥수동,1104073,성동구,11040
20220104,79292,용답동,1104070,성동구,11040
20220104,29823,용산동2가,1103052,용산구,11030
20220104,121792,월계동,1111051,노원구,11110
20220104,30952,을지로2가,1102060,중구,11020
