차종종별,연료,건수,비율,읍면동,행정동코드,시군구,행정구코드
승용,경유,12194,0.05583649586746282,독산1동,1118052,금천구,11180
승용,휘발유,12161,0.05568538840775918,대치1동,1123060,강남구,11230
승용,휘발유(무연),12161,0.05568538840775918,석관동,1108085,성북구,11080
승용,휘발유,12153,0.05564875629631587,잠실본동,1124071,송파구,11240
승용,휘발유(무연),12153,0.05564875629631587,암사2동,1125058,강동구,11250
승용,휘발유(무연),12143,0.05560296615701173,도화동,1114075,마포구,11140
승용,휘발유(무연),12132,0.05555259700377719,돈암1동,1108058,성북구,11080
승용,휘발유(무연),12080,0.05531448827939568,갈현1동,1112055,은평구,11120
승용,경유,12043,0.05514506476397038,양평1동,1119061,영등포구,11190
승용,휘발유(무연),12034,0.05510385363859666,홍은1동,1113066,서대문구,11130
승용,휘발유,12031,0.05509011659680541,불광1동,1112052,은평구,11120
승용,휘발유,11982,0.05486574491421514,오륜동,1124059,송파구,11240
승용,휘발유(무연),11979,0.05485200787242391,정릉1동,1108062,성북구,11080
승용,휘발유,11968,0.05480163871918936,구의1동,1105060,광진구,11050
승용,휘발유,11953,0.05473295351023316,상계1동,1111065,노원구,11110
승용,휘발유(무연),11951,0.05472379548237234,삼전동,1124064,송파구,11240
승용,휘발유(무연),11948,0.05471005844058108,상봉1동,1107059,중랑구,11070
승용,휘발유(무연),11946,0.05470090041272026,신정1동,1115064,양천구,11150
승용,휘발유(무연),11938,0.05466426830127696,방화1동,1116070,강서구,11160
승용,엘피지,11924,0.05460016210625116,상계1동,1111065,노원구,11110
승용,경유,11918,0.05457268802266869,잠실본동,1124071,송파구,11240
승용,휘발유,11909,0.05453147689729496,오금동,1124060,송파구,11240
승용,휘발유(무연),11904,0.0545085818276429,답십리2동,1106086,동대문구,11060
승용,엘피지,11887,0.05443073859082587,구로1동,1117052,구로구,11170
승용,휘발유,11882,0.0544078435211738,석촌동,1124063,송파구,11240
승용,경유,11881,0.05440326450724338,장안1동,1106087,동대문구,11060
승용,휘발유(무연),11879,0.05439410647938255,창2동,1110060,도봉구,11100
승용,휘발유,11877,0.05438494845152173,독산1동,1118052,금천구,11180
승용,경유,11870,0.05435289535400883,독산1동,1118052,금천구,11180
승용,휘발유(무연),11865,0.05433000028435676,신정1동,1115064,양천구,11150
승용,휘발유(무연),11858,0.05429794718684387,서강동,1114076,마포구,11140
승용,휘발유,11852,0.05427047310326139,압구정동,1123077,강남구,11230
승용,휘발유(무연),11842,0.05422468296395726,서초1동,1122051,서초구,11220
승용,경유,11829,0.05416515578286188,상도1동,1120053,동작구,11200
승용,휘발유(무연),11813,0.05409189155997526,가산동,1118051,금천구,11180
승용,휘발유(무연),11808,0.0540689964903232,여의동,1119054,영등포구,11190
승용,경유,11793,0.05400031128136699,잠실본동,1124071,송파구,11240
승용,휘발유(무연),11776,0.05392246804454996,시흥1동,1118057,금천구,11180
승용,경유,11762,0.05385836184952417,개봉2동,1117064,구로구,11170
승용,휘발유(무연),11757,0.0538354667798721,망우3동,1107068,중랑구,11070
승용,휘발유(무연),11726,0.05369351734802928,역촌동,1112074,은평구,11120
화물,경유,11724,0.05368435932016846,잠실본동,1124071,송파구,11240
승용,휘발유,11710,0.05362025312514267,발산1동,1116067,강서구,11160
승용,휘발유,11692,0.05353783087439522,삼성동,1121082,관악구,11210
승용,경유,11672,0.05344625059578696,서초1동,1122051,서초구,11220
승용,경유,11644,0.05331803820573537,오금동,1124060,송파구,11240
승용,휘발유(무연),11641,0.05330430116394413,송파1동,1124061,송파구,11240
